rank,type,extrapolation_confidence,disease,drug,relation,target_subgroup,expected_information_gain,cost,eig_per_cost,equity_gain,post_mean_majority,post_mean_minority,rationale
130,C,0.400,lymphangioma,vancomycin,indication,IV-VI,1.3419,2.78,0.4831,0.5368,0.688,0.688,Type C: drug-class analogy from propranolol (class=). Hypothesis only — class membership ≠ identical efficacy.
131,C,0.400,lymphangioma,diiodohydroxyquinoline,indication,IV-VI,1.3419,2.78,0.4831,0.5368,0.688,0.688,Type C: drug-class analogy from propranolol (class=). Hypothesis only — class membership ≠ identical efficacy.
132,C,0.400,lymphangioma,tripelennamine,indication,IV-VI,1.3419,2.78,0.4831,0.5368,0.688,0.688,Type C: drug-class analogy from propranolol (class=). Hypothesis only — class membership ≠ identical efficacy.
133,C,0.400,melanoma,fumaric acid,indication,IV-VI,1.3419,1.22,1.1004,0.5368,0.688,0.688,Type C: drug-class analogy from hydroxyurea (class=). Hypothesis only — class membership ≠ identical efficacy.
134,C,0.400,melanoma,amcinonide,indication,IV-VI,1.3419,1.22,1.1004,0.5368,0.688,0.688,Type C: drug-class analogy from hydroxyurea (class=). Hypothesis only — class membership ≠ identical efficacy.
135,C,0.400,melanoma,vancomycin,indication,IV-VI,1.3419,1.22,1.1004,0.5368,0.688,0.688,Type C: drug-class analogy from hydroxyurea (class=). Hypothesis only — class membership ≠ identical efficacy.
136,C,0.400,melanoma,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.22,1.1004,0.5368,0.688,0.688,Type C: drug-class analogy from hydroxyurea (class=). Hypothesis only — class membership ≠ identical efficacy.
137,C,0.400,melanoma,tripelennamine,indication,IV-VI,1.3419,1.22,1.1004,0.5368,0.688,0.688,Type C: drug-class analogy from hydroxyurea (class=). Hypothesis only — class membership ≠ identical efficacy.
138,C,0.400,myiasis,fumaric acid,indication,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from pyrimethamine (class=). Hypothesis only — class membership ≠ identical efficacy.
139,C,0.400,myiasis,amcinonide,indication,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from pyrimethamine (class=). Hypothesis only — class membership ≠ identical efficacy.
140,C,0.400,myiasis,vancomycin,indication,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from pyrimethamine (class=). Hypothesis only — class membership ≠ identical efficacy.
141,C,0.400,myiasis,diiodohydroxyquinoline,indication,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from pyrimethamine (class=). Hypothesis only — class membership ≠ identical efficacy.
142,C,0.400,myiasis,tripelennamine,indication,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from pyrimethamine (class=). Hypothesis only — class membership ≠ identical efficacy.
143,C,0.400,myiasis,fumaric acid,off-label use,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from atovaquone (class=). Hypothesis only — class membership ≠ identical efficacy.
144,C,0.400,myiasis,amcinonide,off-label use,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from atovaquone (class=). Hypothesis only — class membership ≠ identical efficacy.
145,C,0.400,myiasis,vancomycin,off-label use,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from atovaquone (class=). Hypothesis only — class membership ≠ identical efficacy.
146,C,0.400,myiasis,diiodohydroxyquinoline,off-label use,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from atovaquone (class=). Hypothesis only — class membership ≠ identical efficacy.
147,C,0.400,myiasis,tripelennamine,off-label use,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from atovaquone (class=). Hypothesis only — class membership ≠ identical efficacy.
148,C,0.400,myiasis,azelaic acid,off-label use,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from clindamycin (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
149,C,0.400,myiasis,erythromycin,off-label use,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from clindamycin (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
150,C,0.400,myiasis,tretinoin,off-label use,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from clindamycin (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
151,C,0.400,myiasis,benzoyl peroxide,off-label use,IV-VI,1.3419,3.70,0.3623,0.5368,0.688,0.688,Type C: drug-class analogy from clindamycin (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
152,C,0.400,necrobiosis lipoidica,hydrocortisone acetate,indication,IV-VI,1.3419,1.89,0.7112,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
153,C,0.400,necrobiosis lipoidica,dexamethasone,indication,IV-VI,1.3419,1.89,0.7112,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
154,C,0.400,necrobiosis lipoidica,fluticasone propionate,indication,IV-VI,1.3419,1.89,0.7112,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
155,C,0.400,necrobiosis lipoidica,fluocinolone acetonide,indication,IV-VI,1.3419,1.89,0.7112,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
156,C,0.400,necrobiosis lipoidica,mometasone furoate,indication,IV-VI,1.3419,1.89,0.7112,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
157,C,0.400,neurodermatitis,fumaric acid,indication,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
158,C,0.400,neurodermatitis,vancomycin,indication,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
159,C,0.400,neurodermatitis,diiodohydroxyquinoline,indication,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
160,C,0.400,neurodermatitis,tripelennamine,indication,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
161,C,0.400,neurodermatitis,hydrocortisone acetate,indication,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
162,C,0.400,neurodermatitis,prednisone,indication,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
163,C,0.400,neurodermatitis,fumaric acid,off-label use,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from diiodohydroxyquinoline (class=). Hypothesis only — class membership ≠ identical efficacy.
164,C,0.400,neurodermatitis,amcinonide,off-label use,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from diiodohydroxyquinoline (class=). Hypothesis only — class membership ≠ identical efficacy.
165,C,0.400,neurodermatitis,vancomycin,off-label use,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from diiodohydroxyquinoline (class=). Hypothesis only — class membership ≠ identical efficacy.
166,C,0.400,neurodermatitis,tripelennamine,off-label use,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from diiodohydroxyquinoline (class=). Hypothesis only — class membership ≠ identical efficacy.
167,C,0.400,neurodermatitis,dexamethasone,off-label use,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from hydrocortisone acetate (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
168,C,0.400,neurodermatitis,fluticasone propionate,off-label use,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from hydrocortisone acetate (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
169,C,0.400,neurodermatitis,fluocinolone acetonide,off-label use,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from hydrocortisone acetate (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
170,C,0.400,neurodermatitis,mometasone furoate,off-label use,IV-VI,1.3419,4.76,0.2818,0.5368,0.688,0.688,Type C: drug-class analogy from hydrocortisone acetate (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
171,C,0.400,neurofibromatosis,fumaric acid,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from selumetinib (class=). Hypothesis only — class membership ≠ identical efficacy.
172,C,0.400,neurofibromatosis,amcinonide,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from selumetinib (class=). Hypothesis only — class membership ≠ identical efficacy.
173,C,0.400,neurofibromatosis,vancomycin,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from selumetinib (class=). Hypothesis only — class membership ≠ identical efficacy.
174,C,0.400,neurofibromatosis,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from selumetinib (class=). Hypothesis only — class membership ≠ identical efficacy.
175,C,0.400,neurofibromatosis,tripelennamine,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from selumetinib (class=). Hypothesis only — class membership ≠ identical efficacy.
176,C,0.400,psoriasis,amcinonide,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
177,C,0.400,psoriasis,vancomycin,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
178,C,0.400,psoriasis,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
179,C,0.400,psoriasis,tripelennamine,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
180,C,0.400,psoriasis,fluticasone propionate,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
181,C,0.400,psoriasis,fluocinolone acetonide,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
182,C,0.400,psoriasis,mometasone furoate,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
183,C,0.400,psoriasis,adalimumab,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from methotrexate (class=L04A). Hypothesis only — class membership ≠ identical efficacy.
184,C,0.400,psoriasis,calcipotriol,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from tazarotene (class=D05A). Hypothesis only — class membership ≠ identical efficacy.
185,C,0.400,psoriasis,anthralin,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from tazarotene (class=D05A). Hypothesis only — class membership ≠ identical efficacy.
186,C,0.400,psoriasis,tazarotene,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from anthralin (class=D05A). Hypothesis only — class membership ≠ identical efficacy.
187,C,0.400,psoriasis,fumaric acid,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from triethylenetetramine (class=). Hypothesis only — class membership ≠ identical efficacy.
188,C,0.400,psoriasis,amcinonide,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from triethylenetetramine (class=). Hypothesis only — class membership ≠ identical efficacy.
189,C,0.400,psoriasis,vancomycin,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from triethylenetetramine (class=). Hypothesis only — class membership ≠ identical efficacy.
190,C,0.400,psoriasis,diiodohydroxyquinoline,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from triethylenetetramine (class=). Hypothesis only — class membership ≠ identical efficacy.
191,C,0.400,psoriasis,tripelennamine,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from triethylenetetramine (class=). Hypothesis only — class membership ≠ identical efficacy.
192,C,0.400,pustular psoriasis,fumaric acid,indication,IV-VI,1.3419,4.17,0.3221,0.5368,0.688,0.688,Type C: drug-class analogy from maxacalcitol (class=). Hypothesis only — class membership ≠ identical efficacy.
193,C,0.400,pustular psoriasis,amcinonide,indication,IV-VI,1.3419,4.17,0.3221,0.5368,0.688,0.688,Type C: drug-class analogy from maxacalcitol (class=). Hypothesis only — class membership ≠ identical efficacy.
194,C,0.400,pustular psoriasis,vancomycin,indication,IV-VI,1.3419,4.17,0.3221,0.5368,0.688,0.688,Type C: drug-class analogy from maxacalcitol (class=). Hypothesis only — class membership ≠ identical efficacy.
195,C,0.400,pustular psoriasis,diiodohydroxyquinoline,indication,IV-VI,1.3419,4.17,0.3221,0.5368,0.688,0.688,Type C: drug-class analogy from maxacalcitol (class=). Hypothesis only — class membership ≠ identical efficacy.
196,C,0.400,pustular psoriasis,tripelennamine,indication,IV-VI,1.3419,4.17,0.3221,0.5368,0.688,0.688,Type C: drug-class analogy from maxacalcitol (class=). Hypothesis only — class membership ≠ identical efficacy.
197,C,0.400,rosacea,erythromycin,indication,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from azelaic acid (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
198,C,0.400,rosacea,tretinoin,indication,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from azelaic acid (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
199,C,0.400,rosacea,benzoyl peroxide,indication,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from azelaic acid (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
200,C,0.400,rosacea,clindamycin,indication,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from azelaic acid (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
201,C,0.400,rosacea,fumaric acid,indication,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from fluorometholone (class=). Hypothesis only — class membership ≠ identical efficacy.
202,C,0.400,rosacea,amcinonide,indication,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from fluorometholone (class=). Hypothesis only — class membership ≠ identical efficacy.
203,C,0.400,rosacea,vancomycin,indication,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from fluorometholone (class=). Hypothesis only — class membership ≠ identical efficacy.
204,C,0.400,rosacea,diiodohydroxyquinoline,indication,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from fluorometholone (class=). Hypothesis only — class membership ≠ identical efficacy.
205,C,0.400,rosacea,tripelennamine,indication,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from fluorometholone (class=). Hypothesis only — class membership ≠ identical efficacy.
206,C,0.400,rosacea,mupirocin,indication,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from fusidic acid (class=D06A). Hypothesis only — class membership ≠ identical efficacy.
207,C,0.400,rosacea,fumaric acid,off-label use,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from chlortetracycline (class=). Hypothesis only — class membership ≠ identical efficacy.
208,C,0.400,rosacea,amcinonide,off-label use,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from chlortetracycline (class=). Hypothesis only — class membership ≠ identical efficacy.
209,C,0.400,rosacea,vancomycin,off-label use,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from chlortetracycline (class=). Hypothesis only — class membership ≠ identical efficacy.
210,C,0.400,rosacea,diiodohydroxyquinoline,off-label use,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from chlortetracycline (class=). Hypothesis only — class membership ≠ identical efficacy.
211,C,0.400,rosacea,tripelennamine,off-label use,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from chlortetracycline (class=). Hypothesis only — class membership ≠ identical efficacy.
212,C,0.400,rosacea,azelaic acid,off-label use,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from clindamycin (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
213,C,0.400,rosacea,erythromycin,off-label use,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from clindamycin (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
214,C,0.400,rosacea,tretinoin,off-label use,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from clindamycin (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
215,C,0.400,rosacea,benzoyl peroxide,off-label use,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from clindamycin (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
216,C,0.400,rosacea,mupirocin,off-label use,IV-VI,1.3419,5.26,0.2550,0.5368,0.688,0.688,Type C: drug-class analogy from fusidic acid (class=D06A). Hypothesis only — class membership ≠ identical efficacy.
217,C,0.400,sarcoidosis,fluticasone propionate,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
218,C,0.400,sarcoidosis,fluocinolone acetonide,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
219,C,0.400,sarcoidosis,mometasone furoate,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
220,C,0.400,seborrheic dermatitis,fumaric acid,indication,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
221,C,0.400,seborrheic dermatitis,vancomycin,indication,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
222,C,0.400,seborrheic dermatitis,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
223,C,0.400,seborrheic dermatitis,tripelennamine,indication,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
224,C,0.400,seborrheic dermatitis,hydrocortisone acetate,indication,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
225,C,0.400,seborrheic dermatitis,prednisone,indication,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
226,C,0.400,seborrheic dermatitis,methylprednisolone,off-label use,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
227,C,0.400,seborrheic dermatitis,prednisone,off-label use,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
228,C,0.400,seborrheic dermatitis,prednisolone,off-label use,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
229,C,0.400,seborrheic dermatitis,hydrocortisone acetate,off-label use,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from hydrocortisone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
230,C,0.400,seborrheic dermatitis,dexamethasone,off-label use,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from hydrocortisone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
231,C,0.400,seborrheic dermatitis,fluticasone propionate,off-label use,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from hydrocortisone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
232,C,0.400,seborrheic dermatitis,fluocinolone acetonide,off-label use,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from hydrocortisone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
233,C,0.400,seborrheic dermatitis,mometasone furoate,off-label use,IV-VI,1.3419,1.20,1.1138,0.5368,0.688,0.688,Type C: drug-class analogy from hydrocortisone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
234,C,0.400,seborrheic keratosis,fumaric acid,indication,IV-VI,1.3419,3.23,0.4160,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
235,C,0.400,seborrheic keratosis,vancomycin,indication,IV-VI,1.3419,3.23,0.4160,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
236,C,0.400,seborrheic keratosis,diiodohydroxyquinoline,indication,IV-VI,1.3419,3.23,0.4160,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
237,C,0.400,seborrheic keratosis,tripelennamine,indication,IV-VI,1.3419,3.23,0.4160,0.5368,0.688,0.688,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
238,C,0.400,seborrheic keratosis,cladribine,indication,IV-VI,1.3419,3.23,0.4160,0.5368,0.688,0.688,Type C: drug-class analogy from fluorouracil (class=L01B). Hypothesis only — class membership ≠ identical efficacy.
239,C,0.400,seborrheic keratosis,penciclovir,indication,IV-VI,1.3419,3.23,0.4160,0.5368,0.688,0.688,Type C: drug-class analogy from imiquimod (class=D06B). Hypothesis only — class membership ≠ identical efficacy.
240,C,0.400,squamous cell carcinoma,rituximab,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from cemiplimab (class=L01F). Hypothesis only — class membership ≠ identical efficacy.
241,C,0.400,squamous cell carcinoma,fumaric acid,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from cetuximab (class=). Hypothesis only — class membership ≠ identical efficacy.
242,C,0.400,squamous cell carcinoma,amcinonide,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from cetuximab (class=). Hypothesis only — class membership ≠ identical efficacy.
243,C,0.400,squamous cell carcinoma,vancomycin,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from cetuximab (class=). Hypothesis only — class membership ≠ identical efficacy.
244,C,0.400,squamous cell carcinoma,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from cetuximab (class=). Hypothesis only — class membership ≠ identical efficacy.
245,C,0.400,squamous cell carcinoma,tripelennamine,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from cetuximab (class=). Hypothesis only — class membership ≠ identical efficacy.
246,C,0.400,tinea corporis,fumaric acid,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from econazole (class=). Hypothesis only — class membership ≠ identical efficacy.
247,C,0.400,tinea corporis,amcinonide,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from econazole (class=). Hypothesis only — class membership ≠ identical efficacy.
248,C,0.400,tinea corporis,vancomycin,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from econazole (class=). Hypothesis only — class membership ≠ identical efficacy.
249,C,0.400,tinea corporis,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from econazole (class=). Hypothesis only — class membership ≠ identical efficacy.
250,C,0.400,tinea corporis,tripelennamine,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from econazole (class=). Hypothesis only — class membership ≠ identical efficacy.
251,C,0.400,tinea corporis,itraconazole,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from fluconazole (class=J02A). Hypothesis only — class membership ≠ identical efficacy.
252,C,0.400,tinea corporis,amphotericin b,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from fluconazole (class=J02A). Hypothesis only — class membership ≠ identical efficacy.
253,C,0.400,tuberous sclerosis,fumaric acid,indication,IV-VI,1.3419,1.56,0.8588,0.5368,0.688,0.688,Type C: drug-class analogy from everolimus (class=). Hypothesis only — class membership ≠ identical efficacy.
254,C,0.400,tuberous sclerosis,amcinonide,indication,IV-VI,1.3419,1.56,0.8588,0.5368,0.688,0.688,Type C: drug-class analogy from everolimus (class=). Hypothesis only — class membership ≠ identical efficacy.
255,C,0.400,tuberous sclerosis,vancomycin,indication,IV-VI,1.3419,1.56,0.8588,0.5368,0.688,0.688,Type C: drug-class analogy from everolimus (class=). Hypothesis only — class membership ≠ identical efficacy.
256,C,0.400,tuberous sclerosis,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.56,0.8588,0.5368,0.688,0.688,Type C: drug-class analogy from everolimus (class=). Hypothesis only — class membership ≠ identical efficacy.
257,C,0.400,tuberous sclerosis,tripelennamine,indication,IV-VI,1.3419,1.56,0.8588,0.5368,0.688,0.688,Type C: drug-class analogy from everolimus (class=). Hypothesis only — class membership ≠ identical efficacy.
258,C,0.400,vitiligo,acitretin,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from methoxsalen (class=D05B). Hypothesis only — class membership ≠ identical efficacy.
259,C,0.400,rosacea,meclocycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.3503,0.528,0.549,Type C: drug-class analogy from demeclocycline (class=J01A). Hypothesis only — class membership ≠ identical efficacy.
260,C,0.400,rosacea,minocycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.3503,0.528,0.549,Type C: drug-class analogy from demeclocycline (class=J01A). Hypothesis only — class membership ≠ identical efficacy.
